"tag","name","townHallLevel","role","clanRank","expLevel","league","trophies","versusTrophies","warStars","legendTrophies","attackWins","defenseWins","donations","donationsReceived","Barbarian","Archer","Giant","Goblin","Wall Breaker","Balloon","Wizard","Healer","Dragon","P.E.K.K.A","Baby Dragon","Miner","Electro Dragon","Yeti","Dragon Rider","Root Rider","Thrower","Minion","Hog Rider","Valkyrie","Golem","Witch","Lava Hound","Bowler","Apprentice Warden","Druid","Furnace","Ice Golem","Headhunter","Electro Titan","Wall Wrecker","Battle Blimp","Stone Slammer","Siege Barracks","Log Launcher","Flame Flinger","Battle Drill","Troop Launcher","L.A.S.S.I","Electro Owl","Mighty Yak","Unicorn","Phoenix","Poison Lizard","Diggy","Frosty","Spirit Fox","Angry Jelly","Sneezy","Raged Barbarian","Sneaky Archer","Boxer Giant","Beta Minion","Bomber","Baby Dragon BB","Cannon Cart","Night Witch","Drop Ship","Power P.E.K.K.A","Hog Glider","Electrofire Wizard","Lightning Spell","Healing Spell","Rage Spell","Jump Spell","Freeze Spell","Clone Spell","Invisibility Spell","Recall Spell","Poison Spell","Earthquake Spell","Haste Spell","Skeleton Spell","Bat Spell","Overgrowth Spell","Revive Spell","Ice Block Spell","Barbarian King","Archer Queen","Grand Warden","Royal Champion","Minion Prince","Battle Machine","Battle Copter","Bigger Coffers","Get those Goblins!","Bigger & Better","Nice and Tidy","Gold Grab","Elixir Escapade","Sweet Victory!","Empire Builder","Wall Buster","Humiliator","Union Buster","Conqueror","Unbreakable","Friend in Need","Mortar Mauler","Heroic Heist","X-Bow Exterminator","Firefighter","War Hero","Clan War Wealth","Anti-Artillery","Sharing is caring","Master Engineering","Next Generation Model","Un-Build It","Champion Builder","High Gear","Hidden Treasures","Games Champion","Dragon Slayer","War League Legend","Well Seasoned","Shattered and Scattered","Not So Easy This Time","Bust This!","Superb Work","Siege Sharer","Aggressive Capitalism","Most Valuable Clanmate"
"#PYJP9Y9GC","mitch",13,"member",38,90,"Gold League II",1730,1653,7,0,5,1,0,0,3,7,7,3,6,6,9,5,8,5,2,2,1,0,0,0,0,2,3,3,3,1,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,4,1,6,1,1,0,0,0,0,4,8,2,2,1,1,0,0,3,3,2,1,0,0,0,0,32,21,15,0,23,4,1,13,21,13,629,26893536,28617630,1736,5,505,103,375,114,322,4,376,273938,225,113,7,12904034,39,2,8,1,63,1676,1,1,150,0,4,6210,1,7,0,8,0,4987,29500
"#Q9YUR2QLQ","hiru",11,"member",39,111,"Gold League II",1682,1746,19,0,0,0,0,0,8,8,8,7,7,6,8,5,6,7,4,5,2,0,0,0,0,7,7,6,7,4,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,9,11,10,9,9,10,12,0,0,0,7,7,5,3,5,4,1,0,4,4,4,4,3,0,0,0,44,43,20,0,30,12,0,12,54,11,1342,185038135,210701503,1877,7,6672,595,2193,677,71,373,1875,1405774,549,193,19,87406755,43,24,7,1,394,2149,2,1,26550,0,3,36320,0,2,0,4,0,255244,355095
"#QRPYCC9GR","Dekstar",11,"member",40,105,"Unranked",1643,1952,360,0,0,0,0,0,7,7,7,7,7,6,7,4,5,6,4,3,1,0,0,0,0,7,7,5,7,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,0,0,0,0,0,7,7,5,3,5,3,1,0,4,5,5,3,4,0,0,0,41,41,1,0,20,5,0,12,45,11,729,165659311,179350213,2075,7,1903,257,1101,320,164,1668,1039,1340406,510,230,360,112022401,12,23,5,1,219,1989,1,1,15800,0,163,28570,0,1,0,0,0,139359,241368
"#LYVC0VQP0","Skew",11,"member",41,127,"Unranked",1621,2716,76,0,0,0,0,0,8,8,8,7,7,7,8,5,6,7,5,5,2,0,0,0,0,7,7,6,7,4,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,0,0,0,8,7,5,3,6,5,2,0,5,5,5,4,4,0,0,0,43,48,18,0,22,20,0,12,128,11,3613,377657543,409389412,2646,7,5107,607,2953,820,169,1898,2473,2813922,1345,563,76,104578125,123,50,7,1,2861,2815,2,1,21975,0,41,49580,1,2,0,0,0,202780,305524
"#QJGVP0GQG","Arin the slayer",12,"member",42,66,"Unranked",1567,1547,78,0,0,0,0,0,4,9,7,3,6,5,9,5,2,8,2,0,0,0,0,0,0,1,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,1,0,0,0,0,0,0,0,1,4,2,1,1,3,0,0,2,1,0,0,0,0,0,0,22,17,9,0,20,2,0,11,179,12,868,117931923,122889090,1909,5,10221,329,1053,380,15,466,1100,1032029,534,226,78,88817082,59,6,5,1,113,1549,1,1,2350,0,25,17150,0,15,0,12,0,7785,26985
"#QV2CRJYLC","comandante Nava",11,"member",43,105,"Unranked",1562,2327,25,0,0,0,0,0,7,8,8,7,6,6,8,4,5,7,3,3,1,0,0,0,0,5,7,6,5,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,11,3,8,1,10,13,1,0,0,0,7,7,5,3,5,2,1,0,3,4,4,3,4,0,0,0,28,28,3,0,3,5,1,12,24,11,1537,204128905,232048778,1926,6,8869,453,1820,513,41,611,1615,1354905,595,213,25,106289504,20,33,8,1,267,2350,1,1,15800,0,5,32750,0,0,0,2,0,282800,368611
"#9PCGC80YY","you",11,"member",44,87,"Unranked",1531,1310,24,0,0,0,0,0,7,7,7,5,5,7,8,4,6,7,1,5,0,0,0,0,0,5,5,6,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,6,5,0,0,0,0,0,0,8,7,5,3,6,3,0,0,2,2,3,1,2,0,0,0,43,45,5,0,15,0,0,12,53,11,353,55024644,57180553,1600,7,1066,119,400,149,192,3,355,321807,93,23,24,28688921,7,0,4,1,65,1435,1,1,0,0,12,9495,1,0,0,0,0,0,5300
"#GYPLRVC0L","jhon1w",11,"member",45,91,"Unranked",1525,1178,0,0,0,0,0,0,5,6,7,5,4,6,7,4,5,7,4,3,2,0,0,0,0,4,2,2,6,4,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,6,7,1,7,1,0,0,0,0,0,7,7,5,1,5,1,1,0,1,1,1,1,3,0,0,0,39,34,12,0,23,0,0,12,136,11,1421,206808002,204531163,1739,7,15138,460,1781,603,82,21,1909,1330010,588,168,0,62313652,14,0,6,1,55,1178,1,1,0,0,0,25380,0,1,0,0,0,2760,16550
"#G8G2YV89Q","MONKEY",10,"member",46,90,"Unranked",1368,1965,100,0,0,0,0,0,6,6,7,6,5,6,7,4,5,6,2,1,0,0,0,0,0,6,6,5,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,10,9,11,8,11,12,1,0,0,0,6,7,5,2,4,3,0,0,3,4,3,3,1,0,0,0,35,39,0,0,14,7,0,11,57,10,1655,67478143,73718313,1719,6,6965,278,793,293,59,15,845,445917,164,66,100,62167504,4,0,7,1,282,2128,1,1,6050,0,21,22915,0,0,0,0,0,211873,277849
"#LVUL0LV22","samuvel",11,"member",47,84,"Unranked",1351,2137,19,0,0,0,0,0,8,8,8,6,5,4,8,2,6,7,1,3,2,0,0,0,0,3,3,3,3,4,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,10,9,8,5,8,12,0,0,0,0,8,7,5,2,2,1,1,0,3,2,2,2,2,0,0,0,42,41,8,0,25,13,0,12,132,11,402,70763865,70667446,1756,7,1238,269,968,317,31,40,978,420061,231,55,19,61767092,2,1,7,1,283,2304,1,1,0,0,6,22635,0,0,0,0,0,0,4100
"#8JU99UUGC","Aldiushi",10,"admin",48,92,"Unranked",1185,1859,170,0,0,0,0,0,6,6,6,6,5,6,6,4,4,4,2,1,0,0,0,0,0,5,5,4,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,10,10,10,11,12,12,0,0,0,0,6,6,5,2,2,0,0,0,3,3,2,1,0,0,0,0,31,31,0,0,0,6,0,11,142,10,2984,70237636,74605928,1691,6,2197,547,1547,617,182,2517,1450,221890,59,5,170,61600581,0,27,6,1,629,2221,2,1,3125,0,29,22940,0,0,0,0,0,0,400
"#GG929G209","Kapswlh",5,"member",49,12,"Unranked",409,0,0,0,0,0,0,10,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,39,5,3,740599,659797,443,2,146,32,65,33,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2650,0,0,0,0,0,0,0
